,cut,clarity,color,price,depth,carat,table,x,y,z
23539,Premium,SI2,G,11544,61.4,2,59,8.14,8.06,4.97
23540,Good,I1,E,11548,64.2,3,65,9.08,8.96,5.79
23541,Premium,VVS1,F,11549,59.4,1.14,59,6.87,6.8,4.06
23542,Ideal,VVS2,D,11550,62.2,1.1,57,6.58,6.54,4.08
23543,Good,SI2,J,11554,63.4,2.01,59,7.95,7.99,5.05
23544,Very Good,SI1,I,11554,60.9,1.73,59,7.71,7.68,4.69
23545,Good,SI1,E,11554,58.5,1.5,59,7.45,7.49,4.37
23546,Ideal,VS1,H,11557,61,1.5,56.8,7.36,7.4,4.5
23547,Very Good,VS2,H,11557,60.9,1.53,63,7.41,7.37,4.5
23548,Ideal,VS2,I,11559,60.5,1.71,56,7.73,7.71,4.67
23549,Very Good,SI1,F,11560,60.7,1.51,60,7.39,7.43,4.5
23550,Very Good,SI1,F,11560,62.8,1.51,59,7.28,7.31,4.58
23551,Very Good,SI1,F,11560,63,1.51,61,7.27,7.3,4.59
23552,Good,SI1,F,11560,60.9,1.51,61,7.3,7.32,4.45
23553,Very Good,SI1,H,11560,63.6,1.7,59,7.46,7.55,4.77
23554,Premium,VS1,H,11562,62.6,1.55,58,7.4,7.34,4.61
23555,Very Good,SI1,E,11565,63.1,1.51,58,7.28,7.23,4.58
23556,Premium,SI1,E,11565,62.6,1.51,55,7.33,7.25,4.56
23557,Premium,SI1,E,11565,62.8,1.51,59,7.3,7.26,4.57
23558,Premium,SI1,E,11565,61.5,1.51,61,7.41,7.31,4.53
23559,Very Good,SI1,J,11566,63.4,2.01,57,7.97,7.89,5.03
23560,Premium,VS2,H,11567,60.7,1.55,58,7.51,7.47,4.55
23561,Ideal,VVS1,G,11572,61.5,1.21,56,6.83,6.89,4.22
23562,Ideal,SI1,G,11572,62.8,1.5,54,7.31,7.29,4.58
23563,Ideal,VVS2,D,11573,62.2,1.02,59,6.41,6.46,4
23564,Premium,SI1,G,11574,60.5,1.54,61,7.47,7.44,4.51
23565,Ideal,VS2,I,11574,61.8,1.55,55,7.4,7.44,4.58
23566,Premium,VS2,H,11575,61,1.57,59,7.54,7.5,4.59
23567,Ideal,SI2,G,11576,61.6,1.75,54.8,7.73,7.78,4.78
23568,Good,VS2,J,11576,57.2,2.09,64,8.51,8.46,4.85
23569,Good,VS2,G,11577,63.3,1.5,62,7.08,7.2,4.52
23570,Premium,SI1,G,11578,59.9,1.63,60,7.64,7.61,4.57
23571,Premium,SI2,H,11579,62.3,2.18,59,8.37,8.26,5.18
23572,Ideal,VS1,H,11580,62.6,1.51,56,7.28,7.32,4.57
23573,Ideal,VS1,F,11580,61.7,1.28,55,7.01,6.98,4.32
23574,Very Good,VS1,G,11584,59.9,1.4,56,7.31,7.34,4.39
23575,Ideal,VS1,G,11584,61.7,1.32,56,7.04,7.07,4.35
23576,Very Good,SI1,E,11586,59.6,1.5,58,7.38,7.41,4.41
23577,Ideal,VVS2,I,11587,62.7,1.62,54,7.47,7.52,4.7
23578,Premium,SI1,F,11588,61.4,1.5,59,7.34,7.31,4.5
23579,Premium,VS1,G,11588,61.8,1.44,57,7.21,7.09,4.42
23580,Very Good,VVS1,G,11589,60.2,1.25,58,6.97,7.04,4.22
23581,Ideal,I1,H,11594,59.6,2.72,55,9.17,9.13,5.45
23582,Very Good,SI1,D,11595,62,1.52,58,7.37,7.4,4.58
23583,Ideal,SI1,G,11596,61.8,1.57,55,7.43,7.49,4.61
23584,Fair,SI2,H,11600,65.2,2,55,7.9,7.85,5.13
23585,Ideal,VVS2,G,11601,61.1,1.24,56,6.94,6.97,4.25
23586,Very Good,VVS2,F,11602,62,1.28,57,6.92,7.01,4.32
23587,Very Good,VS2,H,11602,61.3,1.55,61,7.39,7.46,4.55
23588,Ideal,SI2,G,11602,61.5,2.01,55,8.15,8.11,5
23589,Very Good,VS1,H,11605,62.8,1.57,60,7.36,7.44,4.65
23590,Ideal,VS2,H,11605,62.3,1.7,57,7.68,7.65,4.78
23591,Ideal,IF,E,11605,62.6,1.02,57,6.47,6.41,4.03
23592,Premium,SI1,F,11607,62.2,1.51,59,7.34,7.3,4.55
23593,Ideal,VVS2,J,11609,62,1.75,55,7.7,7.73,4.78
23594,Ideal,SI1,G,11610,60.7,1.58,56,7.56,7.6,4.6
23595,Ideal,VVS2,E,11611,61.7,1.03,56,6.49,6.51,4.01
23596,Very Good,SI1,G,11613,62.3,1.59,60,7.42,7.49,4.64
23597,Premium,SI1,F,11613,62.2,1.5,58,7.36,7.34,4.57
23598,Ideal,VS1,I,11616,62,1.76,57,7.71,7.74,4.79
23599,Premium,VS1,H,11621,61.4,1.52,58,7.44,7.3,4.55
23600,Very Good,VVS2,G,11624,63.4,1.4,59,7.12,7.04,4.49
23601,Very Good,VS2,H,11627,59.4,1.61,58,7.64,7.74,4.57
23602,Ideal,SI1,E,11628,61.3,1.51,57,7.35,7.42,4.53
23603,Ideal,SI1,G,11628,61.2,1.56,56,7.51,7.49,4.59
23604,Very Good,IF,F,11631,61.4,1.09,56,6.62,6.68,4.08
23605,Premium,VS2,H,11632,62.1,1.54,62,7.38,7.31,4.56
23606,Ideal,VVS2,G,11633,62.4,1.3,56.1,6.97,7.02,4.36
23607,Premium,SI2,H,11635,61.5,2.01,59,8.12,8.08,4.98
23608,Ideal,VS2,H,11636,61.5,1.56,56,7.5,7.46,4.6
23609,Premium,SI1,F,11637,62.6,1.52,59,7.27,7.36,4.58
23610,Ideal,SI1,F,11637,62.2,1.52,56,7.38,7.41,4.6
23611,Premium,SI1,E,11638,61.4,1.5,59,7.41,7.24,4.5
23612,Very Good,SI2,E,11638,61,1.72,57,7.67,7.76,4.71
23613,Premium,SI1,J,11638,61.1,2.33,58,8.6,8.56,5.24
23614,Very Good,VS2,G,11640,61.5,1.51,59,7.34,7.38,4.53
23615,Good,VS2,G,11640,64.2,1.51,54,7.18,7.27,4.64
23616,Ideal,VVS1,G,11640,62.2,1.34,56,7.11,7.04,4.4
23617,Ideal,VVS1,E,11641,61.5,1.13,56,6.68,6.71,4.12
23618,Ideal,SI1,E,11642,62.2,1.52,53,7.38,7.31,4.57
23619,Ideal,SI2,H,11643,61.5,1.79,56,7.77,7.81,4.79
23620,Premium,VS2,E,11644,62.7,1.41,56,7.18,7.1,4.48
23621,Premium,SI2,H,11646,61.9,2.01,59,8.13,7.97,4.98
23622,Premium,SI1,I,11646,61.3,2.01,60,8.09,8.05,4.95
23623,Premium,SI2,H,11646,61.8,2.01,62,8.05,7.97,4.95
23624,Ideal,VS1,F,11649,59.6,1.37,57,7.28,7.22,4.32
23625,Very Good,VVS2,F,11650,59.4,1.11,58,6.74,6.79,4.02
23626,Very Good,SI1,F,11650,58.8,1.54,60,7.54,7.59,4.45
23627,Premium,VS2,F,11650,61.1,1.45,58,7.31,7.23,4.44
23628,Ideal,VS1,I,11651,61.5,1.54,56,7.42,7.47,4.58
23629,Ideal,SI1,G,11651,62.1,1.6,56,7.51,7.48,4.65
23630,Very Good,VVS1,H,11654,63.8,1.5,57,7.17,7.21,4.59
23631,Premium,VVS1,F,11654,59.4,1.14,59,6.87,6.8,4.06
23632,Ideal,VVS2,D,11654,62.2,1.1,57,6.58,6.54,4.08
23633,Premium,SI2,E,11655,62.5,1.75,59,7.71,7.63,4.79
23634,Premium,VS2,I,11655,61.4,1.5,58,7.28,7.24,4.46
23635,Fair,SI2,H,11655,64.5,2,56,7.93,7.86,5.09
23636,Very Good,SI2,J,11660,63.4,2.01,59,7.99,7.95,5.05
23637,Ideal,VVS1,D,11661,62.5,1.01,55,6.39,6.44,4.01
23638,Premium,SI2,J,11663,62,2.11,60,8.19,8.24,5.09
23639,Premium,VS2,H,11663,61.9,1.54,59,7.31,7.33,4.53
23640,Premium,SI1,F,11666,63,1.51,61,7.3,7.27,4.59
23641,Premium,SI1,F,11666,60.9,1.51,61,7.32,7.3,4.45
23642,Premium,SI1,F,11666,62.8,1.51,59,7.31,7.28,4.58
23643,Premium,SI1,F,11666,60.7,1.51,58,7.41,7.38,4.49
23644,Very Good,VS2,F,11667,62.6,1.45,58,7.12,7.2,4.48
23645,Fair,I1,H,11668,67.1,3.65,53,9.53,9.48,6.38
23646,Very Good,VVS2,D,11677,62.7,1.03,58,6.39,6.43,4.02
23647,Ideal,SI1,H,11678,61.6,1.67,55,7.68,7.62,4.71
23648,Very Good,VS2,H,11681,59.7,1.52,55,7.45,7.42,4.44
23649,Ideal,VS1,H,11686,62.6,1.51,56,7.32,7.28,4.57
23650,Ideal,SI1,H,11688,62.7,1.73,56,7.62,7.67,4.79
23651,Very Good,VVS1,H,11688,60.9,1.5,61,7.36,7.39,4.49
23652,Very Good,SI1,E,11688,60.8,1.5,58,7.32,7.36,4.46
23653,Very Good,SI1,E,11690,62,1.5,57,7.25,7.33,4.52
23654,Ideal,VS2,H,11696,61.9,1.51,59,7.29,7.34,4.53
23655,Good,VS2,F,11696,64.2,1.52,59,7.16,7.2,4.61
23656,Ideal,SI1,G,11702,61.8,1.57,55,7.49,7.43,4.61
23657,Good,SI1,J,11703,59.6,2.01,61,8.08,8.14,4.83
23658,Very Good,VS2,G,11703,63.1,1.55,57,7.36,7.31,4.63
23659,Ideal,IF,G,11705,60.6,1.25,57,6.97,6.99,4.23
23660,Very Good,VS2,G,11708,63,1.54,59,7.3,7.36,4.62
23661,Premium,VS2,H,11708,61.3,1.55,61,7.46,7.39,4.55
23662,Premium,SI1,H,11709,62.5,1.7,60,7.54,7.49,4.7
23663,Ideal,VS1,J,11711,62.1,1.71,55,7.73,7.65,4.78
23664,Premium,VS2,G,11711,62.7,1.57,60,7.46,7.38,4.65
23665,Premium,VS1,H,11711,62.8,1.57,60,7.44,7.36,4.65
23666,Premium,SI2,D,11712,61.6,1.65,58,7.59,7.55,4.66
23667,Ideal,SI1,F,11713,60.3,1.53,57,7.45,7.52,4.51
23668,Very Good,SI1,F,11713,58.5,1.53,59,7.55,7.62,4.44
23669,Ideal,SI2,H,11715,60.8,2.02,56,8.21,8.14,4.97
23670,Very Good,VVS1,F,11716,62.7,1.24,61,6.75,6.84,4.26
23671,Good,SI1,F,11716,63.6,1.59,57,7.39,7.43,4.71
23672,Very Good,SI1,E,11717,61.9,1.5,59,7.26,7.32,4.51
23673,Premium,VVS1,G,11717,61.6,1.16,55,6.85,6.72,4.18
23674,Premium,SI1,G,11719,62.3,1.59,60,7.49,7.42,4.64
23675,Premium,SI1,G,11721,61,1.63,59,7.64,7.58,4.64
23676,Very Good,VS2,H,11722,62.5,1.53,61,7.28,7.38,4.58
23677,Ideal,VS1,I,11722,62,1.76,57,7.74,7.71,4.79
23678,Premium,VVS1,F,11723,61.9,1.22,58,6.81,6.85,4.23
23679,Ideal,VS2,E,11726,60.8,1.39,57,7.24,7.21,4.39
23680,Ideal,VVS2,F,11730,61.9,1.22,53,6.9,6.92,4.28
23681,Premium,SI1,F,11733,60.1,1.62,58,7.63,7.59,4.57
23682,Very Good,VVS1,F,11737,62.2,1.14,55.9,6.67,6.69,4.16
23683,Very Good,SI2,D,11737,62.1,1.71,58,7.56,7.64,4.72
23684,Premium,VS2,H,11738,60.7,1.55,59,7.46,7.5,4.54
23685,Fair,VS1,G,11739,64.9,1.51,55,7.25,7.14,4.67
23686,Premium,SI1,F,11743,62.6,1.52,59,7.36,7.27,4.58
23687,Good,SI1,J,11746,64.1,2.06,56,7.97,8.09,5.15
23688,Good,VS2,G,11746,64.2,1.51,54,7.27,7.18,4.64
23689,Premium,VS2,G,11746,58.1,1.51,61,7.57,7.54,4.39
23690,Very Good,VVS2,H,11748,62.9,1.5,59,7.26,7.31,4.58
23691,Good,SI2,I,11756,63.7,2.19,57,8.23,8.19,5.23
23692,Very Good,SI1,D,11756,61,1.5,61,7.28,7.32,4.45
23693,Good,SI1,D,11756,63.1,1.5,57,7.24,7.31,4.59
23694,Very Good,SI2,J,11757,62.4,2.02,55,8.05,8.11,5.04
23695,Very Good,SI2,J,11757,59.2,2.02,60,8.27,8.39,4.91
23696,Premium,SI1,D,11760,62.5,1.51,60,7.27,7.23,4.54
23697,Very Good,SI1,E,11764,60.1,1.55,58,7.5,7.55,4.52
23698,Very Good,SI1,J,11764,62,2.06,57,8.11,8.17,5.05
23699,Ideal,VVS2,D,11765,61,1.02,56,6.52,6.55,3.99
23700,Ideal,VVS1,D,11767,62.5,1.01,55,6.44,6.39,4.01
23701,Ideal,SI1,E,631,62.1,0.36,56,4.56,4.59,2.84
23702,Premium,IF,I,631,60.5,0.3,59,4.32,4.34,2.62
23703,Premium,VS1,J,631,59.7,0.4,59,4.79,4.83,2.87
23704,Very Good,VS1,H,631,60.8,0.36,59,4.59,4.62,2.8
23705,Good,VS1,J,631,63.2,0.4,57,4.7,4.73,2.98
23706,Ideal,SI1,E,631,61.6,0.36,56,4.56,4.59,2.82
23707,Very Good,VS1,H,631,61.6,0.36,59,4.52,4.57,2.8
23708,Good,VS1,J,631,63.4,0.4,58,4.61,4.64,2.93
23709,Very Good,VVS2,H,632,61,0.34,55,4.52,4.55,2.76
23710,Ideal,VVS2,I,632,61.9,0.37,54,4.62,4.66,2.87
23711,Ideal,VS2,E,632,61.1,0.31,56,4.37,4.4,2.68
23712,Ideal,SI2,G,632,62,0.4,56,4.73,4.76,2.94
23713,Good,VS1,D,632,61.7,0.3,62,4.18,4.21,2.59
23714,Very Good,VVS2,F,633,61.6,0.25,57,4.05,4.07,2.5
23715,Very Good,VVS2,F,633,62.2,0.25,57,4.01,4.04,2.5
23716,Very Good,VVS2,F,633,60.1,0.25,57,4.1,4.13,2.47
23717,Very Good,VVS2,F,633,62.4,0.25,55,4.03,4.06,2.52
23718,Very Good,VVS2,F,633,61.6,0.25,57,4.05,4.08,2.5
23719,Very Good,VVS2,F,633,62.8,0.25,54,4,4.03,2.52
23720,Very Good,VVS2,E,633,61.4,0.29,58,4.25,4.31,2.63
23721,Very Good,VVS1,F,633,62.2,0.25,56,4.02,4.03,2.5
23722,Very Good,VVS1,F,633,60.8,0.25,57,4.08,4.1,2.48
23723,Very Good,VVS1,F,633,61.8,0.25,55,4.06,4.09,2.52
23724,Very Good,VVS1,F,633,61.1,0.25,57,4.05,4.08,2.48
23725,Very Good,VVS1,F,633,62.9,0.25,55,4.04,4.06,2.55
23726,Very Good,VVS1,E,633,62.3,0.25,55,4.04,4.06,2.52
23727,Very Good,IF,F,633,61.1,0.25,54,4.08,4.11,2.5
23728,Very Good,IF,E,633,61.3,0.25,56,4.1,4.13,2.53
23729,Ideal,VVS2,H,633,61.6,0.33,55,4.48,4.51,2.77
23730,Ideal,VVS2,E,633,61.1,0.25,56,4.08,4.11,2.5
23731,Premium,VS2,H,11769,61.9,1.54,59,7.33,7.31,4.53
23732,Very Good,VVS2,G,11774,60.8,1.36,60,7.12,7.16,4.34
23733,Premium,VVS2,I,11775,62.1,1.7,59,7.6,7.53,4.7
23734,Very Good,SI1,F,11776,61.4,1.52,59,7.39,7.46,4.56
23735,Very Good,SI2,H,11780,63.4,2.01,60,7.97,7.89,5.03
23736,Very Good,SI2,H,11780,63.4,2.01,60,7.97,7.89,5.03
23737,Ideal,SI2,E,11781,60.4,1.68,55,7.7,7.79,4.68
23738,Premium,VS2,I,11781,62.2,1.7,58,7.6,7.65,4.74
23739,Very Good,SI1,F,11782,63.2,1.83,56,7.78,7.73,4.9
23740,Premium,VS2,G,11786,58.2,1.58,58,7.68,7.64,4.46
23741,Premium,SI1,F,11790,60.9,1.54,59,7.46,7.56,4.57
23742,Very Good,SI2,J,11792,61.9,2,55,8.06,8.09,5
23743,Very Good,SI2,J,11792,59.8,2,60,8.09,8.13,4.85
23744,Premium,VS1,J,11793,62,2,62,8.02,7.91,4.94
23745,Ideal,VS2,D,11793,62.1,1.36,55,7.18,7.13,4.44
23746,Very Good,SI1,F,11794,60.7,1.56,59,7.45,7.55,4.55
23747,Premium,SI1,E,11795,60,1.5,58,7.5,7.47,4.49
23748,Premium,SI1,E,11795,60.8,1.5,58,7.36,7.32,4.46
23749,Premium,SI1,E,11795,59.3,1.54,60,7.58,7.54,4.48
23750,Premium,VS2,D,11795,59.4,1.54,59,7.61,7.55,4.5
23751,Good,SI1,E,11795,64.1,1.5,58,7.24,7.15,4.61
23752,Very Good,SI1,G,11796,63.1,1.77,57,7.68,7.63,4.83
23753,Premium,VS2,H,11796,62.1,1.6,60,7.51,7.44,4.64
23754,Premium,VVS2,F,11797,61.3,1.27,60,6.9,6.99,4.26
23755,Ideal,SI1,H,11797,61.3,1.52,56,7.39,7.44,4.54
23756,Very Good,VS1,H,11804,63.9,1.56,57,7.3,7.37,4.69
23757,Good,VS1,H,11804,63.5,1.52,60,7.24,7.28,4.61
23758,Premium,VS2,G,11815,63,1.54,59,7.36,7.3,4.62
23759,Very Good,VVS1,D,11815,61.8,1.06,57,6.49,6.52,4.03
23760,Ideal,SI2,E,11816,61.9,1.71,57,7.69,7.65,4.75
23761,Ideal,VS1,G,11817,62.6,1.41,56,7.15,7.2,4.49
23762,Premium,SI1,F,11817,61.4,1.51,58,7.43,7.35,4.54
23763,Premium,SI1,G,11818,62.2,1.6,58,7.44,7.5,4.65
23764,Good,SI2,I,11818,62.9,2.1,64,8.15,8.1,5.11
23765,Premium,SI2,H,11820,58,2.04,58,8.45,8.36,4.88
23766,Good,SI1,I,11820,57.7,2.04,64,8.39,8.31,4.82
23767,Ideal,SI1,F,11820,60.3,1.53,57,7.52,7.45,4.51
23768,Premium,SI1,F,11820,58.5,1.53,59,7.62,7.55,4.44
23769,Very Good,VS1,H,11823,62,1.65,56,7.53,7.59,4.68
23770,Premium,SI2,H,11825,62.5,2.01,62,8.09,8.04,5.04
23771,Very Good,SI1,H,11825,63.1,2.01,56,8.05,8,5.06
23772,Good,VVS2,H,11826,63.1,1.51,59,7.26,7.28,4.59
23773,Ideal,VS2,I,11826,61.7,1.61,56,7.52,7.62,4.67
23774,Premium,VVS1,F,11830,61.9,1.22,58,6.85,6.81,4.23
23775,Very Good,SI2,H,11830,63.5,2.45,58,8.7,8.58,5.49
23776,Ideal,SI1,D,11834,61.9,1.51,57,7.35,7.42,4.57
23777,Very Good,SI1,G,11836,60.3,1.51,57,7.44,7.48,4.5
23778,Ideal,VVS2,D,11837,62,1.06,57,6.52,6.54,4.05
23779,Premium,IF,E,11838,59,1.05,58,6.66,6.7,3.94
23780,Ideal,VVS2,E,11839,62.2,1.2,57,6.81,6.77,4.22
23781,Ideal,VS1,E,11840,61.8,1.27,57,6.94,6.98,4.3
23782,Very Good,VS1,I,11843,63.4,1.73,58,7.57,7.6,4.81
23783,Ideal,SI1,G,11843,61.8,1.69,53,7.68,7.71,4.75
23784,Very Good,SI2,J,11843,60.6,2.45,63,8.71,8.66,5.26
23785,Very Good,SI2,D,11844,63.5,1.71,56,7.58,7.51,4.79
23786,Ideal,VVS1,F,11844,62.2,1.14,56,6.69,6.67,4.16
23787,Premium,VS2,H,11846,60.7,1.55,59,7.5,7.46,4.54
23788,Ideal,IF,F,11846,61.4,1.09,55,6.61,6.68,4.09
23789,Ideal,VVS2,G,11848,61.1,1.36,57,7.14,7.2,4.38
23790,Premium,SI1,H,11848,61.8,1.7,61,7.59,7.52,4.67
23791,Very Good,VS2,I,11850,62.8,1.71,59,7.52,7.58,4.74
23792,Premium,SI2,H,11851,60,2.08,60,8.31,8.28,4.98
23793,Good,VS2,E,11851,63.9,1.46,57,7.06,7.12,4.53
23794,Ideal,VVS2,G,11853,60.9,1.3,57,7.04,7.11,4.31
23795,Premium,VS1,H,11853,58.4,1.52,59,7.55,7.52,4.4
23796,Premium,SI1,G,11854,62.3,1.81,58,7.75,7.68,4.81
23797,Good,SI1,J,11854,64.1,2.06,56,8.09,7.97,5.15
23798,Premium,VVS2,H,11855,62.9,1.5,59,7.31,7.26,4.58
23799,Ideal,VS1,H,11856,60.8,1.51,57,7.43,7.46,4.53
23800,Ideal,SI1,G,11859,62.4,1.61,55,7.51,7.48,4.68
23801,Premium,VS1,G,11861,61.7,1.42,55,7.29,7.24,4.48
23802,Premium,SI1,D,11863,62.1,1.5,60,7.28,7.22,4.5
23803,Premium,SI1,D,11863,61,1.5,61,7.32,7.28,4.45
23804,Very Good,SI1,D,11863,63.1,1.5,57,7.31,7.24,4.59
23805,Premium,SI1,G,11864,61,1.65,58,7.66,7.62,4.66
23806,Very Good,VS1,I,11867,61.6,1.67,59.1,7.61,7.64,4.7
23807,Premium,VS1,G,11867,61.6,1.73,60,7.67,7.62,4.71
23808,Premium,VVS2,G,11868,60.2,1.35,59,7.2,7.16,4.32
23809,Ideal,VVS1,I,11869,62.1,1.55,56,7.36,7.43,4.59
23810,Good,SI1,H,11869,63.9,1.7,56,7.61,7.53,4.84
23811,Ideal,VVS2,F,11870,62.2,1.22,54,6.83,6.87,4.26
23812,Premium,SI1,E,11871,60.1,1.55,58,7.55,7.5,4.52
23813,Premium,SI1,E,11873,63,1.51,58,7.33,7.27,4.6
23814,Very Good,SI2,D,11873,63.5,1.71,59,7.57,7.59,4.81
23815,Very Good,SI1,D,11873,59.2,1.53,57,7.52,7.55,4.46
23816,Premium,SI1,F,11878,62.9,1.5,59,7.34,7.29,4.6
23817,Very Good,VS1,I,11879,63.3,1.5,54,7.26,7.33,4.62
23818,Ideal,VVS2,F,11880,62.7,1.22,54,6.79,6.84,4.27
23819,Ideal,VVS2,E,11883,61.5,1.2,57,6.79,6.89,4.21
23820,Premium,SI1,I,11883,62.9,1.83,55,7.9,7.78,4.93
23821,Ideal,VVS1,F,11886,62.1,1.17,57,6.82,6.73,4.21
23822,Ideal,SI2,I,11886,62,2.08,56,8.21,8.1,5.06
23823,Premium,VS2,I,11888,62.2,1.7,58,7.65,7.6,4.74
23824,Ideal,IF,F,11888,61.6,1.09,55,6.59,6.65,4.08
23825,Ideal,SI2,E,11888,60.4,1.68,55,7.79,7.7,4.68
23826,Premium,SI1,F,11897,60.9,1.54,59,7.56,7.46,4.57
23827,Premium,SI2,J,11899,61.9,2,55,8.09,8.06,5
23828,Premium,SI2,J,11899,59.8,2,60,8.13,8.09,4.85
23829,Premium,SI1,F,11901,60.7,1.56,59,7.55,7.45,4.55
23830,Premium,SI2,F,11903,62,2.01,60,7.88,7.82,4.87
23831,Very Good,VVS2,H,11904,63,1.52,60,7.25,7.3,4.58
23832,Premium,VVS2,F,11905,61.3,1.27,60,6.99,6.9,4.26
23833,Ideal,VVS2,E,11906,61.5,1.18,57,6.8,6.75,4.17
23834,Very Good,VS1,H,11912,63.5,1.52,60,7.28,7.24,4.61
23835,Very Good,VVS1,F,11913,59.8,1.2,63,6.82,6.8,4.07
23836,Ideal,SI1,G,11917,61.6,1.51,57,7.34,7.31,4.52
23837,Ideal,SI1,G,11917,62.4,1.51,56,7.36,7.33,4.59
23838,Good,VS1,I,11921,58,1.7,60,7.84,7.88,4.56
23839,Ideal,VS2,H,11922,61.6,1.56,57,7.51,7.45,4.61
23840,Very Good,VVS1,D,11923,63.9,1.01,56,6.32,6.36,4.05
23841,Very Good,VS2,G,11923,62.8,1.51,57,7.25,7.3,4.57
23842,Fair,SI2,G,11923,65,2.1,56,8.09,7.98,5.21
23843,Ideal,SI2,E,11924,59.6,1.7,59,7.73,7.83,4.64
23844,Very Good,SI2,F,11925,63.3,2.01,59,7.98,7.89,5.02
23845,Premium,SI1,G,11926,62.2,1.6,58,7.5,7.44,4.65
23846,Ideal,SI1,G,11927,62.2,1.58,55,7.44,7.5,4.65
23847,Ideal,VVS2,F,11927,61.9,1.23,55,6.92,6.89,4.27
23848,Very Good,SI1,D,11933,62,1.5,63,7.27,7.31,4.52
23849,Very Good,VVS2,H,11934,63.1,1.51,59,7.28,7.26,4.59
23850,Fair,SI1,G,11935,65.5,2,58,7.82,7.73,5.09
23851,Very Good,VS2,E,11939,61.9,1.5,57,7.31,7.38,4.55
23852,Ideal,SI1,D,11942,61.9,1.51,57,7.42,7.35,4.57
23853,Ideal,SI1,F,11943,62.7,1.56,57,7.34,7.39,4.62
23854,Very Good,VS1,F,11946,62.7,1.36,60,7.05,7.02,4.41
23855,Ideal,VS1,H,11946,60.1,1.52,60,7.54,7.51,4.52
23856,Premium,IF,E,11946,59,1.05,58,6.7,6.66,3.94
23857,Fair,SI2,G,11946,61.4,2.1,66,8.26,8.19,5.05
23858,Premium,SI1,I,11948,61.9,1.8,60,7.78,7.74,4.8
23859,Good,SI1,E,11948,63.9,1.5,54,7.26,7.2,4.62
23860,Ideal,SI1,F,11950,62.4,1.51,56,7.34,7.4,4.6
23861,Ideal,SI2,J,11951,63.2,2.03,55,7.99,8.03,5.06
23862,Good,VS2,I,11954,64.3,2.01,60,7.91,7.86,5.07
23863,Ideal,VVS2,G,11955,62,1.34,55,7.02,7.08,4.37
23864,Ideal,VVS2,G,11956,61.1,1.36,57,7.2,7.14,4.38
23865,Premium,SI1,F,11957,63,1.51,58,7.32,7.28,4.6
23866,Very Good,SI1,F,11957,63.1,1.55,56,7.4,7.38,4.66
23867,Premium,SI1,F,11957,60.6,1.51,61,7.41,7.37,4.48
23868,Premium,VS2,I,11958,62.8,1.71,59,7.58,7.52,4.74
23869,Premium,SI2,F,11962,61,2.02,59,8.2,8.13,4.98
23870,Ideal,VS2,I,11963,61.8,1.63,56,7.56,7.59,4.68
23871,Premium,SI1,F,11965,60.3,1.77,59,7.94,7.87,4.77
23872,Fair,VS2,J,11966,65.4,2,58,7.96,7.75,5.14
23873,Premium,VS2,J,11966,62.9,2,60,7.99,7.95,5.01
23874,Ideal,VS1,H,11967,62.3,1.51,57,7.34,7.29,4.55
23875,Very Good,SI2,J,11968,61.7,2.03,61,8.04,8.18,5
23876,Very Good,SI2,J,11968,60.9,2.03,60,8.1,8.21,4.97
23877,Premium,SI1,H,11969,62.4,1.73,58,7.61,7.64,4.76
23878,Premium,VS1,J,11970,60.9,2.24,58,8.46,8.41,5.14
23879,Very Good,SI2,G,11971,61.3,1.82,58,7.83,7.94,4.83
23880,Ideal,SI1,F,11971,62.3,1.52,55.1,7.29,7.39,4.58
23881,Ideal,VS1,F,11973,61.6,1.27,55,6.97,7.03,4.31
23882,Ideal,VVS2,G,11975,61.3,1.31,58,7.03,7.07,4.32
23883,Premium,SI2,H,11975,62.8,2,57,8.05,8.01,5.04
23884,Ideal,VS1,I,11975,61.6,1.67,59,7.64,7.61,4.7
23885,Premium,SI1,D,11976,62.2,1.57,59,7.37,7.45,4.61
23886,Premium,VVS2,H,11979,61.2,1.52,58,7.48,7.41,4.56
23887,Premium,VVS2,H,11982,60.4,1.53,60,7.41,7.46,4.49
23888,Premium,SI2,G,11985,61.2,2.15,58,8.42,8.3,5.1
23889,Very Good,VS2,G,11986,63.4,1.52,58,7.31,7.24,4.61
23890,Ideal,SI2,I,11988,62.8,2.4,57,8.52,8.49,5.34
23891,Ideal,SI2,H,11988,59.7,2,57,8.29,8.22,4.93
23892,Good,SI1,J,11988,64.2,2,61,7.72,7.69,4.95
23893,Ideal,SI2,G,11988,62.2,2,57,8.13,8,5.02
23894,Very Good,SI1,G,11990,62.5,1.63,58,7.48,7.44,4.66
23895,Very Good,SI1,F,11998,60.3,1.57,57,7.55,7.6,4.57
23896,Ideal,SI1,F,11999,61.6,1.53,56,7.34,7.39,4.54
23897,Very Good,SI1,E,12000,60.4,1.5,59,7.35,7.39,4.45
23898,Ideal,VS2,H,12004,61.8,1.57,55,7.45,7.49,4.62
23899,Very Good,VS1,G,12005,63.4,1.5,59,7.25,7.19,4.58
23900,Ideal,VS1,G,12008,61.6,1.31,57,6.99,7.04,4.32
23901,Ideal,SI1,G,12009,61,1.5,57,7.38,7.41,4.51
23902,Very Good,SI2,D,12012,60.7,1.75,57,7.78,7.83,4.74
23903,Premium,VVS2,H,12013,63,1.52,60,7.3,7.25,4.58
